timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853356621996614,0.0,0.0,0.7853356621996614,0.0,0.0,0.0,0.0
1,0.016972383413269034,0.01697026195727456,0.784729309154672,0.01999966666833333,0.01999866669333308,0.7852481546488611,-0.0030272832550642947,-0.0030284047360585216,-0.0005188454941891241,0.0043133374315736895
2,0.03752486394476217,0.03749526763373781,0.7836557782904242,0.03999733338666616,0.03998933418663416,0.7850230608876738,-0.0024724694419039905,-0.00249406655289635,-0.0013672825972496083,0.0037686781253069286
3,0.057988310530642656,0.05788752777264562,0.7826479675516854,0.05999100040499132,0.0599640064794446,0.7846476544182689,-0.002002689874348665,-0.00207647870679898,-0.001999686866583472,0.003510167818921862
4,0.07837455684817408,0.07816194900925102,0.7816475647401334,0.07997866837326832,0.07991469396917268,0.7841215594114672,-0.0016041115250942373,-0.0017527449599216566,-0.0024739946713338012,0.0034301513542785503
5,0.0986933243155854,0.09832887019515138,0.7806150242397444,0.09995833854135666,0.09983341664682815,0.7834442486492034,-0.0012650142257712577,-0.0015045464516767748,-0.002829224409458986,0.003445059038062392
6,0.1189524194585331,0.11839508231094811,0.7795206513052265,0.11992801295888919,0.11971220728891936,0.7826150424646705,-0.0009755935003560867,-0.0013171249779712485,-0.0030943911594439877,0.003501693523593678
7,0.13915801528648714,0.1383645460215791,0.7783417561513138,0.13988569467506554,0.1395431146442365,0.7816331073758956,-0.0007276793885784005,-0.0011785686226573888,-0.0032913512245817955,0.003570929035199447
8,0.15931490654996175,0.15823895543633157,0.7770608834538199,0.1598293879383454,0.15931820661424598,0.7804974544099562,-0.0005144813883836419,-0.0010792511779144087,-0.0034365709561363644,0.0036386115676976024
9,0.17942673038225426,0.17801818865257663,0.7756644782529246,0.17975709839602208,0.17902957342582415,0.7792069371144732,-0.00033036801376781777,-0.0010113847732475256,-0.003542458861548581,0.0036987912849797177
10,0.19949615521576822,0.1977006687393128,0.7741418804565482,0.1996668332936563,0.19866933079506124,0.7777602492524496,-0.0001706780778880923,-0.0009686620557484427,-0.0036183687959013833,0.0037496706425593166
11,0.2195250413826067,0.21728365364490537,0.77248456674204,0.21955660167434962,0.21822962308086932,0.7761559221759956,-3.156029174292141e-05,-0.0009459694359639503,-0.003671355433955581,0.003791398811550695
12,0.23951457689407255,0.23676346953798655,0.7706855786937491,0.23942441457783872,0.23770262642713458,0.774392321873985,9.016231623382165e-05,-0.0009391568891480295,-0.003706743180235894,0.0038249300529458264
13,0.2594653917399893,0.2561356990159863,0.7687390911094292,0.2592682852393897,0.2570805518921551,0.7724676456882399,0.00019710650059956425,-0.0009448528761688002,-0.0037285545788107166,0.003851456500773885
14,0.27937765377456386,0.27539533322482124,0.7666400857788792,0.279086229288473,0.27635564856411376,0.7703799186924472,0.00029142448609087435,-0.0009603153392925279,-0.003739832913567942,0.003872142043285594
15,0.2992511489311843,0.29453689506464076,0.7643841046024574,0.29887626494719843,0.29552020666133955,0.7681269897276758,0.0003748839839858853,-0.0009833115966987882,-0.003742885125218365,0.0038880108999631603
16,0.31908534817495976,0.3135545391896588,0.7619670623674526,0.31863641322849195,0.31456656061611776,0.7657065270881165,0.00044893494646780496,-0.0010120214264589533,-0.0037394647206638876,0.003899913633769588
17,0.3388794632817402,0.33244213335410294,0.7593851043583904,0.33836469813399206,0.33348709214081446,0.7631160138505118,0.0005147651477481197,-0.001044958786711514,-0.0037309094921214037,0.003908530115230447
18,0.3586324932375377,0.35119332474218073,0.7566344976361938,0.35805914685164836,0.35227423327509,0.760352742840698,0.0005733463858893506,-0.0010809085329092638,-0.0037182452045041448,0.003914388424204541
