timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853356621996614,0.0,0.0,0.7853356621996614,0.0,0.0,0.0,0.0
1,0.013332777787222137,0.013331111262216722,0.7852543927973967,0.01999966666833333,0.01999866669333308,0.7852481546488611,-0.006666888881111192,-0.006667555431116358,6.238148535619992e-06,0.009428878071891186
2,0.03477617634474022,0.03476834484547885,0.7850722149173062,0.03999733338666616,0.03998933418663416,0.7850230608876738,-0.005221157041925939,-0.005220989341155308,4.915402963234783e-05,0.007383876128128048
3,0.05590238370598878,0.05588078458341461,0.7847605932236453,0.05999100040499132,0.0599640064794446,0.7846476544182689,-0.00408861669900254,-0.004083221896029991,0.00011293880537643908,0.005779467340278085
4,0.07677643772915929,0.07672823821409461,0.784287357958388,0.07997866837326832,0.07991469396917268,0.7841215594114672,-0.0032022306441090304,-0.003186455755078074,0.00016579854692078122,0.00452053874392225
5,0.09744937342540953,0.09735529763226983,0.7836513168836423,0.09995833854135666,0.09983341664682815,0.7834442486492034,-0.002508965115947129,-0.0024781190145583276,0.00020706823443894518,0.0035325425768232134
6,0.11796075674978646,0.1177951453686692,0.7828533761284511,0.11992801295888919,0.11971220728891936,0.7826150424646705,-0.0019672562091027357,-0.0019170619202501654,0.00023833366378056553,0.002757177240152977
7,0.1383411407305624,0.1380720649376367,0.7818940239758303,0.13988569467506554,0.1395431146442365,0.7816331073758956,-0.0015445539445031464,-0.0014710497065997807,0.00026091659993465743,0.002148886129809812
8,0.158614027566807,0.15820336927529294,0.7807733797757496,0.1598293879383454,0.15931820661424598,0.7804974544099562,-0.001215360371538382,-0.0011148373389530397,0.00027592536579335025,0.001672153680891204
9,0.1787974024479475,0.17820091476909844,0.7794912317237047,0.17975709839602208,0.17902957342582415,0.7792069371144732,-0.0009596959480745737,-0.0008286586567257115,0.00028429460923151684,0.0012994286848285737
10,0.19890493286741667,0.19807228977916547,0.7780470659303582,0.1996668332936563,0.19866933079506124,0.7777602492524496,-0.0007619004262396367,-0.0005970410158957773,0.0002868166779086412,0.0010095613111111932
11,0.21894690660405422,0.21782174755532413,0.7764400886706543,0.21955660167434962,0.21822962308086932,0.7761559221759956,-0.0006096950702954018,-0.0004078755255451927,0.0002841664946586775,0.0007866645535219458
12,0.23893096548899853,0.23745093849573615,0.7746692432716299,0.23942441457783872,0.23770262642713458,0.774392321873985,-0.0004934490888401921,-0.00025168793139843104,0.00027692139764490253,0.0006192933703524069
13,0.2588626795555186,0.2569594849206734,0.7727332227604061,0.2592682852393897,0.2570805518921551,0.7724676456882399,-0.00040560568387110196,-0.0001210669714817314,0.0002655770721662343,0.0004997042761801142
14,0.2787459964025088,0.27634543227460573,0.7706304791310912,0.279086229288473,0.27635564856411376,0.7703799186924472,-0.00034023288596418677,-1.0216289508035992e-05,0.0002505604386440208,0.0004226621850560036
15,0.298583592981179,0.29560560338802183,0.7683592298866805,0.29887626494719843,0.29552020666133955,0.7681269897276758,-0.0002926719660194532,8.539672668228526e-05,0.00023224015900469297,0.000383255752828664
16,0.31837715106577613,0.31473587670667263,0.7659174623567685,0.31863641322849195,0.31456656061611776,0.7657065270881165,-0.00025926216271582314,0.00016931609055487185,0.00021093526865201273,0.0003746711826364129
17,0.3381275730247062,0.33373140489828085,0.7633029361735235,0.33836469813399206,0.33348709214081446,0.7631160138505118,-0.00023712510928586283,0.0002443127574663917,0.00018692232301176226,0.0003884031356139879
18,0.35783515088135065,0.3525867867135954,0.7605131841984891,0.35805914685164836,0.35227423327509,0.760352742840698,-0.0002239959702977079,0.00031255343850539186,0.00016044135779114121,0.00041665966437971937
19,0.37749969882067,0.3712962022039094,0.757545512124707,0.37771778995300115,0.3709204694129827,0.7574138112307743,-0.00021809113233112187,0.0003757327909267305,0.0001317008939326625,0.0004539647537438601
20,0.39712065708411487,0.3898535192185575,0.7543969969272407,0.39733866159012243,0.38941834230865047,0.754296114760662,-0.00021800450600756305,0.0004351769099070202,0.00010088216657866411,0.0004970735550091452
21,0.4166971734655406,0.4082523773957791,0.751064484296421,0.4169197996921991,0.40776045305957015,0.7509963415782595,-0.00022262622665852883,0.0004919243362089265,6.814271816157902e-05,0.0005442383847077088
22,0.4362281672687589,0.42648625451824596,0.7475445851590045,0.43645924616173865,0.4259394650659996,0.74751096569306,-0.00023107889297974138,0.0005467894522463435,3.3619465944489946e-05,0.0005945640658154441
23,0.45571237953034566,0.4445485190515155,0.7438336713706353,0.4559550470703768,0.44394810696551984,0.7438362400390204,-0.00024266754003116064,0.0006004120859956497,-2.5686683851056102e-06,0.0006476023517959883
24,0.4751484124848201,0.4624324718576039,0.7399278706468124,0.47540525285426916,0.46177917554148284,0.7399681891436981,-0.00025684036944906286,0.0006532963161210437,-4.03184968856829e-05,0.0007031277502895037
25,0.4945347606029207,0.48013137942797995,0.7358230607877165,0.4948079185090459,0.479425538604203,0.7359026014022606,-0.00027315790612519875,0.0007058408237769487,-7.954061454407135e-05,0.000761021168924277
26,0.5138698350280843,0.49763850047222546,0.7315148632438117,0.5141611037843102,0.49688013784373675,0.7316350209569904,-0.0002912687562259819,0.0007583626284887179,-0.0001201577131787479,0.000821212055852868
27,0.5331519828406576,0.5149471073002801,0.7269986360634304,0.5334628733776623,0.5141359916531132,0.7271607391854021,-0.0003108905370047266,0.00081111564716696,-0.00016210312197173504,0.0008836509159340848
