[2026-04-30 23:19:26.480] [INFO] [mpc_sim] k=82 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:26.577] [INFO] [mpc_sim] k=83 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:26.677] [INFO] [mpc_sim] k=84 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:26.777] [INFO] [mpc_sim] k=85 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:27.022] [INFO] [mpc_sim] k=86 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:27.299] [INFO] [mpc_sim] k=87 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:27.551] [INFO] [mpc_sim] k=88 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:27.862] [INFO] [mpc_sim] k=89 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:28.165] [INFO] [mpc_sim] k=90 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:28.576] [INFO] [mpc_sim] k=91 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:28.986] [INFO] [mpc_sim] k=92 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:29.396] [INFO] [mpc_sim] k=93 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:29.650] [INFO] [mpc_sim] k=94 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:29.901] [INFO] [mpc_sim] k=95 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:30.202] [INFO] [mpc_sim] k=96 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:30.443] [INFO] [mpc_sim] k=97 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:30.808] [INFO] [mpc_sim] k=98 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:31.029] [INFO] [mpc_sim] k=99 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:31.273] [INFO] [mpc_sim] k=100 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:31.497] [INFO] [mpc_sim] k=101 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:31.697] [INFO] [mpc_sim] k=102 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:31.896] [INFO] [mpc_sim] k=103 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:32.106] [INFO] [mpc_sim] k=104 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:32.365] [INFO] [mpc_sim] k=105 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:32.632] [INFO] [mpc_sim] k=106 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:32.852] [INFO] [mpc_sim] k=107 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:33.049] [INFO] [mpc_sim] k=108 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:33.292] [INFO] [mpc_sim] k=109 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:33.625] [INFO] [mpc_sim] k=110 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:33.898] [INFO] [mpc_sim] k=111 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:34.095] [INFO] [mpc_sim] k=112 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:34.250] [INFO] [mpc_sim] k=113 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:34.386] [INFO] [mpc_sim] k=114 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:34.505] [INFO] [mpc_sim] k=115 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:34.626] [INFO] [mpc_sim] k=116 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:34.797] [INFO] [mpc_sim] k=117 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:34.885] [INFO] [mpc_sim] k=118 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:34.973] [INFO] [mpc_sim] k=119 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:35.070] [INFO] [mpc_sim] k=120 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:35.163] [INFO] [mpc_sim] k=121 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:35.248] [INFO] [mpc_sim] k=122 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:35.341] [INFO] [mpc_sim] k=123 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:35.442] [INFO] [mpc_sim] k=124 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:35.536] [INFO] [mpc_sim] k=125 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:35.641] [INFO] [mpc_sim] k=126 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:35.737] [INFO] [mpc_sim] k=127 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:35.841] [INFO] [mpc_sim] k=128 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:36.075] [INFO] [mpc_sim] k=129 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:36.342] [INFO] [mpc_sim] k=130 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:56.656] [INFO] [mpc_sim] k=211 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:56.836] [INFO] [mpc_sim] k=212 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:56.945] [INFO] [mpc_sim] k=213 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.020] [INFO] [mpc_sim] k=214 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.089] [INFO] [mpc_sim] k=215 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.160] [INFO] [mpc_sim] k=216 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.244] [INFO] [mpc_sim] k=217 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.323] [INFO] [mpc_sim] k=218 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.417] [INFO] [mpc_sim] k=219 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.494] [INFO] [mpc_sim] k=220 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.578] [INFO] [mpc_sim] k=221 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.658] [INFO] [mpc_sim] k=222 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.741] [INFO] [mpc_sim] k=223 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.816] [INFO] [mpc_sim] k=224 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.896] [INFO] [mpc_sim] k=225 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:57.974] [INFO] [mpc_sim] k=226 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:58.067] [INFO] [mpc_sim] k=227 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:58.147] [INFO] [mpc_sim] k=228 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:58.245] [INFO] [mpc_sim] k=229 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:58.330] [INFO] [mpc_sim] k=230 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:58.489] [INFO] [mpc_sim] k=231 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:58.589] [INFO] [mpc_sim] k=232 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:58.669] [INFO] [mpc_sim] k=233 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:58.750] [INFO] [mpc_sim] k=234 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:58.816] [INFO] [mpc_sim] k=235 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:58.889] [INFO] [mpc_sim] k=236 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:59.322] [INFO] [mpc_sim] k=241 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:59.442] [INFO] [mpc_sim] k=242 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:59.535] [INFO] [mpc_sim] k=243 | Constraint: slack_activated | reason=feasibility
