timestep,v,omega,controller,solve_time_ms
0,0.9427108398244998,-0.004063470113235823,LQR,
1,1.5160593040840373,-0.009108894004526158,LQR,
2,1.4933617689281133,-0.01558108468303899,LQR,
3,1.4750783489747192,-0.023661763262865537,LQR,
4,1.4601762312664768,-0.031802053737287055,LQR,
5,1.4478468680826695,-0.03989703775956199,LQR,
6,1.437457406682235,-0.047967607631037405,LQR,
7,1.4285126487106412,-0.0560322100040373,LQR,
8,1.4206252561543757,-0.06410740260224483,LQR,
9,1.4134924162872204,-0.07220828966732713,LQR,
10,1.4068775654906354,-0.08034886298519876,LQR,
11,1.4005960753301392,-0.08854226995121674,LQR,
12,1.3945040419836074,-0.09680102556118966,LQR,
13,1.3884895063046392,-0.10513718146574708,LQR,
14,1.3824655776330699,-0.1135624622205331,LQR,
15,1.3763650486831291,-0.12208837649560055,LQR,
16,1.3701361782994153,-0.13072630916224726,LQR,
17,1.3637393889385505,-0.13948759875171945,LQR,
18,1.3571446806134868,-0.14838360368910403,LQR,
19,1.3503296060203154,-0.15742575987331237,LQR,
20,1.3432776852327892,-0.16662563154098275,LQR,
21,1.3359771647174337,-0.1759949568708274,LQR,
22,1.3284200460738826,-0.18554568941846108,LQR,
23,1.3206013260801066,-0.195290036191145,LQR,
24,1.312518402290895,-0.20524049295479305,LQR,
25,1.3041706083604225,-0.21540987719524587,LQR,
26,1.2955588510311953,-0.22581135901906393,LQR,
27,1.2866853268186276,-0.23645849016604545,LQR,
28,1.277553301187776,-0.24736523120872914,LQR,
29,1.2681669367527437,-0.2585459769269044,LQR,
30,1.2585311599536801,-0.27001557976385615,LQR,
31,1.2486515579567574,-0.28178937119121383,LQR,
32,1.2385342993162394,-0.29388318072837794,LQR,
33,1.2281860733425591,-0.30631335227744866,LQR,
34,1.2176140442201357,-0.31909675734377346,LQR,
35,1.2068258167799433,-0.3322508046130384,LQR,
36,1.195829411505521,-0.34579344524676864,LQR,
37,1.1846332468785024,-0.35974317313736537,LQR,
38,1.1732461275814703,-0.3741190192293331,LQR,
39,1.1616772373977375,-0.3889405388639366,LQR,
40,1.1499361358979272,-0.4042277909381847,LQR,
41,1.138032758197819,-0.42000130748503,LQR,
42,1.1259774172220671,-0.4362820520783651,LQR,
43,1.1137808080235525,-0.4530913652428151,LQR,
44,1.1014540137951443,-0.47045089480471913,LQR,
45,1.089008513275396,-0.48838250885760875,LQR,
46,1.0764561892957174,-0.50690818873349,LQR,
47,1.0638093382478404,-0.5260498990740553,LQR,
48,1.0510806802686983,-0.5458294317872013,LQR,
49,1.038283369947305,-0.5662682203614998,LQR,
50,1.0254310073559485,-0.587387120703291,LQR,
51,1.0125376491970743,-0.6092061543711653,LQR,
52,0.9996178198380673,-0.6317442098285491,LQR,
53,0.9866865219792506,-0.6550186971383541,LQR,
54,0.9737592466661713,-0.6790451514142903,LQR,
55,0.960851982315578,-0.7038367803563584,LQR,
56,0.9479812223758761,-0.7294039513776729,LQR,
57,0.9351639711875017,-0.7557536142284876,LQR,
58,0.9224177475468467,-0.7828886557029633,LQR,
59,0.9097605854103821,-0.8108071840465905,LQR,
60,0.8972110311037657,-0.8395017421453478,LQR,
61,0.8847881363264457,-0.8689584505572786,LQR,
62,0.8725114461671873,-0.8991560840300074,LQR,
63,0.8604009812734645,-0.9300650884172816,LQR,
64,0.8484772132513713,-0.9616465489351996,LQR,
65,0.8367610323178282,-0.9938511255311503,LQR,
66,0.8252737061890727,-1.0266179767841812,LQR,
67,0.8140368291758714,-1.0598737001670944,LQR,
68,0.8030722604749858,-1.0935313235510402,LQR,
69,0.7924020507063694,-1.127489390298158,LQR,
70,0.7820483558565096,-1.1616311878174292,LQR,
71,0.7720333379588152,-1.1958241765662663,LQR,
72,0.7623790520807896,-1.2299196825281247,LQR,
73,0.7531073195009295,-1.2637529204019333,LQR,
74,0.7442395873494702,-1.2971434162004294,LQR,
75,0.7357967754544836,-1.3298958956999407,LQR,
76,0.7277991116717599,-1.361801698257355,LQR,
77,0.7202659575685035,-1.3926407630799438,LQR,
78,0.7132156269549653,-1.4221842165417369,LQR,
79,0.7066652003836654,-1.4501975644546594,LQR,
80,0.70063033932486,-1.4764444627780164,LQR,
81,0.6951251042344928,-1.5006910052506415,LQR,
82,0.6901617811104966,-1.5227104287934614,LQR,
83,0.6857507213386548,-1.5422880999334532,LQR,
84,0.6819001996209229,-1.5592266112116369,LQR,
85,0.6786162945295788,-1.5733507891321639,LQR,
