timestep,v,omega,controller,solve_time_ms
0,0.9427108398244998,-0.004063470113235823,HYBRID(w=0.40),87.71770000021206
1,1.0573805326764072,-0.00507255489149389,HYBRID(w=0.80),0.0
2,1.0318275029260413,-0.005749156710248134,HYBRID(w=0.86),0.0
3,1.0400208800324713,-0.007024432896457593,HYBRID(w=0.87),0.0
4,1.0473037705989123,-0.008396823931596015,HYBRID(w=0.87),0.0
5,1.8913945922943591,-0.05621912350889474,HYBRID(w=0.88),67.78009999834467
6,1.8794622687603,-0.056864282619526085,HYBRID(w=0.88),0.0
7,1.8697535397367988,-0.057575284239044906,HYBRID(w=0.89),0.0
8,1.8623417677369658,-0.05830623329755902,HYBRID(w=0.90),0.0
9,1.8572514967404687,-0.05901092687211082,HYBRID(w=0.91),0.0
10,1.2887145610812392,-0.09408615173830738,HYBRID(w=0.92),76.70409999991534
11,1.2898977356540773,-0.09452387768651213,HYBRID(w=0.93),0.0
12,1.2907213379013753,-0.09497272460685421,HYBRID(w=0.94),0.0
13,1.2912317445764034,-0.0954094773732188,HYBRID(w=0.94),0.0
14,1.2914778065381685,-0.0958146349739197,HYBRID(w=0.95),0.0
15,1.3978662589094728,-0.13674028467204172,HYBRID(w=0.96),64.89249999867752
16,1.3974900555844552,-0.13697687950658377,HYBRID(w=0.96),0.0
17,1.3971868603666944,-0.13719940253700794,HYBRID(w=0.97),0.0
18,1.396956413828986,-0.13739550219066526,HYBRID(w=0.97),0.0
19,1.3967949649311147,-0.13755744064604591,HYBRID(w=0.98),0.0
20,1.3176551054410572,-0.18190987259912308,HYBRID(w=0.98),120.44210000021849
21,1.3176097802027074,-0.18201010147014476,HYBRID(w=0.98),0.0
22,1.3175530101578121,-0.18209903026359148,HYBRID(w=0.99),0.0
23,1.3174938835944086,-0.18217540515098818,HYBRID(w=0.99),0.0
24,1.3174328254803978,-0.18225394869911066,HYBRID(w=0.99),0.0
25,1.0004182252999407,-0.22547660914976542,HYBRID(w=0.99),60.287799999059644
26,1.0006206004222982,-0.225530374301819,HYBRID(w=0.99),0.0
27,1.0007721577099888,-0.22558800353851974,HYBRID(w=0.99),0.0
28,1.0008881321451066,-0.22564934563266467,HYBRID(w=0.99),0.0
29,1.000980499955974,-0.22571470033446775,HYBRID(w=0.99),0.0
30,1.2854178558964582,-0.2635424507783263,HYBRID(w=0.99),87.15900000242982
31,1.2852418537981871,-0.2635912380269674,HYBRID(w=0.99),0.0
32,1.2850891999256913,-0.2636500048384805,HYBRID(w=1.00),0.0
33,1.2849539032183035,-0.26372090910773927,HYBRID(w=1.00),0.0
34,1.284830337304499,-0.263807146049451,HYBRID(w=1.00),0.0
35,1.2306956376419587,-0.32618300985783616,HYBRID(w=1.00),77.39099999889731
36,1.2306315172552136,-0.3262527996885884,HYBRID(w=1.00),0.0
37,1.230567576963012,-0.32634459316718417,HYBRID(w=1.00),0.0
38,1.2304996098275738,-0.3264645103208136,HYBRID(w=1.00),0.0
39,1.2304222959863547,-0.32662098331555733,HYBRID(w=0.99),0.0
40,1.171205514597581,-0.39866394469884353,HYBRID(w=0.99),69.05650000044261
41,1.1711832078640525,-0.3988082929771318,HYBRID(w=0.99),0.0
42,1.1711450528033953,-0.39900400438828043,HYBRID(w=0.99),0.0
43,1.171082749686397,-0.399267564716159,HYBRID(w=0.99),0.0
44,1.1709849422104828,-0.3996211902421216,HYBRID(w=0.99),0.0
45,1.1078666993627961,-0.48368569818251944,HYBRID(w=0.99),80.88270000007469
46,1.107844634773303,-0.4840386632246806,HYBRID(w=0.99),0.0
47,1.1077770251961412,-0.48451873390934536,HYBRID(w=0.99),0.0
48,1.1076443341621982,-0.4851677325817315,HYBRID(w=0.99),0.0
49,1.1074203830936216,-0.48604098936085416,HYBRID(w=0.99),0.0
50,1.0418882027575234,-0.5846440221364452,HYBRID(w=0.98),82.64449999842327
51,1.0417785367604275,-0.5855109313301707,HYBRID(w=0.98),0.0
52,1.0415546098843669,-0.5866427722143756,HYBRID(w=0.98),0.0
53,1.041183547447566,-0.5881007265072682,HYBRID(w=0.98),0.0
54,1.0406290903448574,-0.5899524910380622,HYBRID(w=0.97),0.0
55,0.9744299648257154,-0.7051781598461017,HYBRID(w=0.97),191.39410000207135
56,0.9740762675154916,-0.7068500182421924,HYBRID(w=0.97),0.0
57,0.9735404561327702,-0.7089206525010335,HYBRID(w=0.96),0.0
58,0.9727952272791016,-0.7114422396801484,HYBRID(w=0.96),0.0
