,t,dist_err,head_err,v_l,v_r,x,y,pitch_deg,v_act,gL,gR,t_rel
0,1777515016.8379428,4.868947e-18,-84.08193,-1.0772566,-1.6356566,-5.020188620509872e-19,4.842997203635494e-18,0.0,-4.717355287550829e-18,1.0,1.0,0.0
1,1777515017.037783,0.17477098,-75.52017,-1.0772566,-1.6356566,-5.7664593820542206e-05,-0.00022472774003343436,0.0,-8.581569845483674e-05,1.0,1.0,0.19984006881713867
2,1777515017.237557,3.3674242,-155.8147,-1.0772566,-1.6356566,-6.022577001423758e-05,-0.00023452493602763814,0.0,-1.8394880486340685e-05,1.0,1.0,0.3996140956878662
3,1777515019.1583545,3.3674242,-155.8147,-1.0699753,-1.6283752,-0.5398449078993202,0.2371014938883395,0.0,-0.9813412030855727,1.0011525,0.998347,2.3204116821289062
4,1777515019.3137515,3.062861,-117.21011,-1.0699753,-1.6283752,-0.6549992447015326,0.3624894250286267,0.0,-1.0206480022218078,0.9993012,1.0005648,2.475808620452881
5,1777515019.4593234,2.984917,-82.92972,-0.35476753,-0.91316754,-0.7271167647726602,0.472923381538947,0.0,-1.0130540669810062,1.0003222,0.99951744,2.621380567550659
6,1777515019.6637428,3.0380683,-65.56869,0.4876275,-0.0707725,-0.798283764262886,0.654641180991352,0.0,-0.9875725900653555,0.99685735,0.9992161,2.8257999420166016
7,1777515019.862673,3.1301997,-48.861355,0.6788388,0.12043879,-0.8210841305785874,0.8319565918894956,0.0,-0.8703603847341053,0.99174863,1.0002836,3.0247302055358887
8,1777515020.0631866,3.25241,-32.156055,0.827922,0.26952198,-0.804936043815643,0.9739107263581549,0.0,-0.6358773336208784,0.98507273,1.0029298,3.2252438068389893
9,1777515020.2645693,3.3537974,-17.625004,0.9427831,0.38438308,-0.7674005400837199,1.073713375825065,0.0,-0.4663556570947825,0.9768044,1.0075538,3.426626443862915
10,1777515020.4637175,3.4229865,-6.1750107,0.9270195,0.5292646,-0.7308520407320479,1.1293621686120916,0.0,-0.26616111271699866,0.9672628,1.0159593,3.625774621963501
