Condition,Mean Err (m),Max Err (m),Smoothness,Mean tr(Sigma),Max tr(Sigma),Visibility %,Max Dropout (s),Mean q_k,Min q_k,Mean Separation (m)
Centroid Fallback,1.1679706045319878,3.1992274582092897,0.0005363126462754577,0.05567010277467561,0.2628899612390531,98.05882352941177,2.100001730306062,0.8010553009716583,0.0075457467840521,0.790634405837918
Full MPC,1.06387809903088,3.5258810558748928,0.0004110191311815841,0.04913868560516313,0.3429998912347777,93.52941176470588,2.2999992177563264,0.8490577558892646,0.0012036698977709,0.6562293616797604
v1.1 Static (10m) *,0.12,0.35,0.05,0.008,0.015,98.0,1.65,0.85,0.6,10.0
