timestamp,x,y,theta,v_cmd,w_cmd,target_x,target_y,cov_trace,cov_xx,cov_yy,cov_tt,fov_distance,aruco_visible,uav_x,uav_y,uav_z,uav_dist,q_k
0.144356974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
0.244316986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
0.344360202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3136921574570313,0.10069865655,0.1004,0.0046044262,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
0.444201879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3136450137062966,0.101159006507455,0.1006,0.00320196402982,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
0.544327636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3143026875889044,0.1016333497049912,0.1008,0.0022818085999649,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
0.644238718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3153355569850955,0.1021004706751592,0.101,0.0016780946224369,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
0.744314921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3165788938391844,0.1025495665562807,0.1012,0.0012819978817808,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
0.844376187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3179424650456464,0.1029760740420858,0.1014,0.0010221188102364,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
0.944231582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193739609779308,0.1033790439528657,0.1016,0.0008516121513961,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
1.044252009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3208422513645116,0.1037595098242962,0.1018,0.000739742732531,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
1.144864226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3223287385293533,0.1041194913560458,0.102,0.0006663452068135,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
1.244382829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238224607820914,0.104461400366565,0.1022,0.0006181890901903,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
1.344458342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3253171549640286,0.1047876994716726,0.1024,0.0005865938620739,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
1.444279496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3268094401688247,0.1051007173732115,0.1026,0.0005658642329066,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
1.544331154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3282976805612567,0.1054025594459402,0.1028,0.00055226352321,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
1.644363306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3297812721947367,0.1056950748121561,0.103,0.0005433400975781,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
1.744387661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331260198213446,0.1059798555875921,0.1032000000000001,0.000537485438021,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
1.844490413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327347546266952,0.1062582532737218,0.1034000000000001,0.0005336441958855,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
1.944376896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3342053842955583,0.106531403191278,0.1036000000000001,0.0005311239569205,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
2.044339696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3356725791631101,0.1068002515906926,0.1038000000000001,0.0005294704281355,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
2.144370078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3371368251049463,0.1070655824137385,0.1040000000000001,0.0005283855478997,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
2.244264722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3385985730221497,0.1073280421211728,0.1042000000000001,0.000527673757977,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
2.34439332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3400582257658229,0.1075881618703118,0.1044000000000001,0.0005272067526087,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
2.444347382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3415161343284041,0.107846376835146,0.1046000000000001,0.0005269003503865,0.0,0,0.0,0.0,5.0,0.0,0.9999994593314968
2.544332839,-0.0088150513236395,-0.0088084600067177,-1.436012878153086,0.0,0.0,0.6682965124834356,0.4453640176894862,0.0184899512161922,0.0025411404069123,0.0025399672153009,0.0002839635476901,0.0124617052415929,1,0.0,0.0,5.0,0.0124617052415929,0.9999621376990796
2.644248768,-0.0087405985123011,-0.0093530237263975,-1.433852476727206,0.22,0.3584318137911368,0.6682965124834356,0.4453640176894862,0.0196010512020533,0.0027412263432687,0.0027426442055904,0.0002464683005495,0.0128014497296125,1,0.0,0.0,5.0,0.0128014497296125,0.9999600759366596
2.744675806,-0.0085753737871019,-0.0109347137369216,-1.4277729144671274,0.22,0.3584318137911368,0.6682965124834356,0.4453640176894862,0.0208187306609829,0.0029415861248799,0.002946000270053,0.0002387616984107,0.0138962225117812,1,0.0,0.0,5.0,0.0138962225117812,0.9999530551842388
2.844332062,-0.0086961979508704,-0.0137200383499065,-1.4823586974708065,0.2199999999999086,0.608201287972316,0.6682965124834356,0.4453640176894862,0.0127332245825186,0.0015510513834958,0.0015534104780354,0.0002153161227599,0.016243869955267,1,0.0,0.0,5.0,0.016243869955267,0.9999360595389244
