Condition,Mean Err (m),Max Err (m),Smoothness,Mean tr(Sigma),Max tr(Sigma),Visibility %,Max Dropout (s),Mean q_k,Min q_k
Centroid Baseline,1.1679706045319878,3.1992274582092897,0.0005363126462754577,0.05567010277467561,0.2628899612390531,98.05882352941177,2.100001730306062,0.8010553009716583,0.0075457467840521
Original MPC,1.06387809903088,3.5258810558748928,0.0004110191311815841,0.04913868560516313,0.3429998912347777,93.52941176470588,2.2999992177563264,0.8490577558892646,0.0012036698977709
Hardened MPC,1.1357335525555925,3.3469871593980676,0.0004202182598418602,0.056229630896064066,0.2870356413330117,94.23529411764706,1.599999884298999,0.8119495712936937,0.0028806604808887
